id,name,medien,bio_de,bio_en,web,instagram_01,instagram_02
sybille-hutter,Sybille Hutter,,"Sybille Hutter erwarb 1991 ihren Gesellenbrief als Steinmetzin in Freiburg, mit Schwerpunkt auf Restaurierungen in Sandstein, Schriftgravur und Grabmalbearbeitung. Das handwerkliche Fundament und die Kunstausbildung in der Fachrichtung Bildhauerei an der Edith-Maryon-Schule am Kaiserstuhl in Freiburg-Munzingen dienen bis heute als Basis ihres künstlerischen Arbeitens.

Von 1997 bis 2007 war sie als freischaffende Künstlerin in Wehr/Baden tätig – mit eigenen Aufträgen, Ausstellungen, Galeriebetrieb und Kursen. 2008 folgte eine Umschulung zur Arbeitserzieherin. Bis 2018 arbeitete sie mit beeinträchtigten Menschen in Werkstätten in Freiburg, Emmendingen, Worms und Heidelberg.

Im Mittelpunkt ihres künstlerischen Schaffens steht die Steinbildhauerei in Weichgestein sowie vereinzelt kleinere Auftragsarbeiten. Aus Speckstein entstehen Torsi, Köpfe und freie Formen, die das Material mitbestimmt: Seine Textur, seine Maserung und die Eigenheiten jedes einzelnen Steins können thematisch eine Reise in die Vergangenheit bedeuten oder einen ganz aktuellen Bezug haben.

In den Jahren von 1997 bis 2023 hatte das Arbeiten mit Ton Vorrang. Es entstanden viele Göttinnen-Figurinen sowie weibliche Akte in Ton, zum Teil mit dem Thema der Rückbindung an „Mutter Erde“.

Das Malen als farbiger Ausdruck der Naturbeobachtung und des Körpers sowie das Gestalten abstrakter Formen in Farbe sind weitere Inhalte ihres Schaffens. Diese gibt sie gerne in Mal- und Specksteinkursen weiter. Ihr Leitsatz: „Es liegt mir am Herzen, die Freude am Material, am Prozess und am eigenen Ausdruck gemeinsam mit anderen Menschen zu teilen und den Weg zu einem stimmigen Endergebnis zu begleiten!“","Sybille Hutter earned her journeywoman’s certificate as a stonemason in Freiburg in 1991, specializing in sandstone restoration, inscription engraving, and tombstone carving. This artisanal foundation, combined with her fine arts studies in sculpture at the Edith Maryon School (Freiburg-Munzingen), serves as the core of her artistic work to this day.

From 1997 to 2007, she worked as a freelance artist in Wehr/Baden, managing her own commissions, exhibitions, a gallery, and teaching courses. In 2008, she retrained as an occupational therapist (Arbeitserzieherin). Until 2018, she worked with people with disabilities in workshops across Freiburg, Emmendingen, Worms, and Heidelberg.

The focus of her current artistic practice is sculpting in soft stone, alongside occasional smaller commissioned works. She uses soapstone to create torsos, heads, and abstract forms that are inherently guided by the material itself: the texture, grain, and unique characteristics of each individual stone can represent a journey into the past or reflect contemporary themes.

Between 1997 and 2023, her primary focus was working with clay. During this period, she created numerous goddess figurines and female nudes, some of which explored the theme of reconnection with ""Mother Earth.""

Her creative repertoire also includes painting as a colorful expression of nature observation and the human body, as well as the exploration of abstract forms through color. She shares these techniques in her painting and soapstone workshops. In her own words: ""It is close to my heart to share the joy of the material, the process, and personal expression with others, and to guide them on their path toward a harmonious result.""",,,
ralf-diefenbacher,Ralf Diefenbacher,,"Malen ist in erster Linie eines seiner vielen Hobbys – das Wichtigste darunter. Ralf Diefenbacher malt, seit er denken kann – und er hat niemals damit aufgehört. Inzwischen ist er 68 Jahre alt, hat das Berufsleben hinter sich gelassen und wohnt mit seiner Frau in Weingarten bei Karlsruhe. Er würde seine malerischen Bemühungen etwa als zeitgenössischen Realismus bezeichnen: Landschaften – Licht – Stimmungen.

Seine Motive findet er meist in der heimatlichen Natur, ab und zu auch in Dörfern und Städten. Ein Motivkreis jedoch motiviert ihn am allermeisten: Alte Wassermühlen – häufig ist er auf der Suche nach diesen inzwischen sehr selten gewordenen Zeugen alter und verständlicher Technik mit heute oft morbidem Charme. Inzwischen hat er Erfahrung in vielen Maltechniken, am allermeisten jedoch fasziniert ihn die Pastellmalerei. Angefangen hat er allerdings mit Ölfarben, denn solche lagen, als er 12 war, für ihn unterm Weihnachtsbaum. Zeichenkohle und Pastellkreiden entdeckte er bald danach, erst viel später kamen Aquarell und Acryl dazu. Inzwischen mixt er auch die diversen Malstile gerne untereinander. Er schafft immer noch gerne zuhause im Atelier – seit er jedoch in Rente ist, hat er sich ein neues Ziel vorgenommen: die Freiluftmalerei.","Painting is primarily one of Ralf Diefenbacher's many hobbies – and the most important among them. He has been painting for as long as he can remember and has never stopped. Now 68 years old, he has left professional life behind him and lives with his wife in Weingarten near Karlsruhe. He would describe his painterly efforts as contemporary realism: landscapes – light – moods.

He finds his motifs mostly in the nature of his homeland, and occasionally in villages and towns. However, one circle of motifs motivates him the most: old watermills – he is frequently in search of these witnesses of old and understandable technology, which have now become very rare and often possess a morbid charm today. By now, he has gained experience in many painting techniques; however, pastel painting fascinates him the most. He started with oil paints, as these were under the Christmas tree for him when he was 12. Charcoal and pastels were discovered shortly after; only much later did watercolor and acrylics follow. Nowadays, he also enjoys mixing various painting styles. He still enjoys working at home in his studio – but since retiring, he has set himself a new goal: en plein air painting.",,,
johanna-mangold,Johanna Mangold,,"Johanna Mangold beschäftigt sich in ihrer künstlerischen Praxis mit Übergängen zwischen Realität, Fiktion und Imagination, zwischen Materialität und Immaterialität. Prozesse des Unbewussten, wie Erinnerung und Traum, spielen eine zentrale Rolle, ebenso wie die Beziehung des Menschen zu Natur und Technologie. Persönliche und kollektive Erfahrungsräume verbinden sich dabei mit Bildwelten aus Mythologie, Science Fiction und Popkultur.  
 
Sie entwickelt offene Konstellationen, nicht-lineare Erzählungen, in denen sich bildnerische, klangliche und textuelle Elemente überlagern. Figuren erscheinen fragmentiert, ornamenthaft, hybrid. Sie fungieren als Träger von Zuständen und Projektionen, und beschreiben Körper als biografische Karten, als Orte der Erinnerung, in denen sich Erfahrungen als Markierungen niederschlagen.  
 
Johanna Mangold arbeitet medienübergreifend mit Zeichnung, Objekt, Textil, Video, Sound, Virtueller Realität und Text. Durch die Erweiterung ihrer künstlerischen Praxis in den digitalen Raum bzw. die Nutzung immersiver Medien, verweben sich virtuelle Bildwelten mit den physischen Erscheinungsformen ihrer Werke. So entstehen multimediale Rauminstallationen, die die Betrachtenden dazu einladen, die Wechselwirkung zwischen den eingesetzten Medien zu untersuchen und insbesondere die Erfahrbarkeit von analogen und digitalen Mitteln zu erforschen, und erzählerische oder poetische Verbindungen in dem Netzwerk der Werke herzustellen.","Johanna Mangold's artistic practice explores transitions between reality, fiction and imagination, between materiality and immateriality. Processes of the unconscious – memory and dream – play a central role, as does the relationship between human beings, nature and technology. Personal and collective spaces of experience connect with imagery drawn from mythology, science fiction and popular culture.

She develops open constellations and non-linear narratives in which pictorial, sonic and textual elements overlap. Figures appear fragmented, ornamental, hybrid – as carriers of states and projections, describing bodies as biographical maps, as sites of memory where experience leaves its marks.

Johanna Mangold works across media: drawing, object, textile, video, sound, virtual reality and text. By extending her practice into digital space and immersive media, virtual image worlds interweave with the physical forms of her works, creating multimedia spatial installations that invite viewers to explore the interplay between different media and to trace narrative and poetic connections across the network of works.
",https://www.johanna-mangold.de/,https://www.instagram.com/johanna.mangold/,
cholud-kassem,Cholud Kassem,,"Cholud Kassem, 1956 in Bagdad geboren, kam in frühester Kindheit nach Deutschland. Nach einer Lehre und einem Kunststudium in Heidelberg arbeitet sie seit 1997 als freischaffende Künstlerin.

Sie stellte ihre Arbeiten national und international aus, übernahm von 2002 bis 2005 Lehraufträge an der Pädagogischen Hochschule Heidelberg und engagiert sich in verschiedenen Gremien. So ist sie Mitglied im Deutschen Künstlerbund, im Künstlerbund Baden-Württemberg, im BBK Heidelberg sowie seit 2014 im Beirat des Heidelberger Kunstvereins.

Kassem erhielt zahlreiche Förderungen, u. a. vom Bundespräsidialamt, dem Land Baden-Württemberg und der Stiftung Kunstfonds/Neustart Kultur. Ihre Arbeiten sind in öffentlichen Sammlungen vertreten, darunter in Sammlungen des Bundesministeriums der Verteidigung und des Landes Baden-Württemberg.","Cholud Kassem, born in Baghdad in 1956, came to Germany in early childhood. Following an apprenticeship and fine arts studies in Heidelberg, she has worked as a freelance artist since 1997. She has exhibited her work nationally and internationally and held teaching assignments at the Heidelberg University of Education (Pädagogische Hochschule) from 2002 to 2005.

She is a member of the Association of German Artists (Deutscher Künstlerbund), the Künstlerbund Baden-Württemberg, and the BBK Heidelberg (Federal Association of Visual Artists). Since 2014, she has also served on the advisory board of the Heidelberger Kunstverein.

Kassem has received numerous grants and awards, including from the Office of the Federal President, the State of Baden-Württemberg, and the Stiftung Kunstfonds/Neustart Kultur. Her work is represented in public collections, including those of the Federal Ministry of Defence and the State of Baden-Württemberg.",https://choludkassem.de/,https://www.instagram.com/choludkassem/,
siegmund-schlag,Siegmund Schlag,,"Der Grafiker und Künstler Siegmund Schlag arbeitet aktuell an einem Projekt mit dem Titel „Sofortbilder“. Dabei erschafft er innerhalb von nur 4 bis 5 Minuten Werke im klassischen Polaroid-Format (8,8 x 10,7 cm).

Stilistisch ordnet er diese Arbeiten zwischen Abstraktion und Streetart ein. Interessierte sind herzlich dazu eingeladen, den Entstehungsprozess der Bilder in Echtzeit mitzuverfolgen.","Graphic designer and artist Siegmund Schlag is currently working on a project titled ""Sofortbilder"" (Instant Pictures). Within just 4 to 5 minutes, he creates works in the classic Polaroid format (8.8 x 10.7 cm).

Stylistically, he positions these pieces between abstraction and street art. Interested viewers are cordially invited to witness the creative process in real time.",,https://www.instagram.com/siegmund.schlag/,
chaz-bargainer,Chaz,,"Chaz Bargainer ist in den USA geboren, lebt und arbeitet aber seit vielen Jahren in Heidelberg-Kirchheim. Während der Corona-Epidemie fand Chaz Bargainer Zeit und Ruhe, um sich endlich wieder der abstrakten Malerei zu widmen. Seitdem malt und experimentiert er mit Farben, Materialien und Formen, wobei er die Malerei oft mit Collagetechniken verbindet.

Da die Kunst im Auge des Betrachters liegt, ist es Chaz Bargainer am liebsten, wenn sich jeder Betrachtende für ein Bild seinen eigenen passenden Titel aussucht. Seine Devise beim Malen – und im Leben – lautet dabei: „What happens happens. But you have to know when to stop.“","Born in the USA, Chaz Bargainer has lived and worked in Heidelberg-Kirchheim for many years. During the COVID-19 pandemic, Chaz Bargainer found the time and peace to finally devote himself to abstract painting again. Since then, he has been painting and experimenting with colors, materials, and forms, often combining painting with collage techniques.

As art lies in the eye of the beholder, Chaz Bargainer prefers it when each viewer chooses their own suitable title for a painting. His motto in painting – and in life – is: ""What happens happens. But you have to know when to stop.""",,https://www.instagram.com/chazbargainer/,
cedric-pintarelli,Cedric Pintarelli,,"Cédric Pintarelli alias SWEETUNO verschreibt sich seit 1989 dem klassischen Graffiti Writing. Er konzentriert sich in erster Linie auf Individualität im Schriftbild und dessen ständiger Weiterentwicklung.

Nach einer Ausbildung zum Schriftsetzer und Grafiker entdeckte der Schweizer 1998 das Theater und zog für eine vierjährige Schauspielausbildung nach Freiburg. Neben der Schauspielerei verbrachte er weiterhin viel Zeit in der „Writingkultur“. Seitdem gilt SWEETUNO als experimentierfreudig und innovativ. Es folgen Portraits in diversen internationalen Graffitimagazinen und Fernsehsendungen.

Seit 2002 lebt und arbeitet er in Heidelberg und Mannheim. 2004 verfasst er „Sky´s the limit“, das bisher einzige Theaterstück über die Graffitibewegung. Seit 2008 widmet sich SWEETUNO vermehrt der Kombination aus Graffiti und Malerei; seine Atelierarbeiten erhalten Einzug in Ausstellungen im In- und Ausland.","Cédric Pintarelli, alias SWEETUNO, has been dedicated to classic graffiti writing since 1989. He focuses primarily on individuality in lettering and its constant evolution.

After training as a typesetter and graphic designer, the Swiss artist discovered theater in 1998 and moved to Freiburg for a four-year acting program. Alongside acting, he continued to spend a great deal of time in the ""writing culture."" Since then, SWEETUNO has been regarded as experimental and innovative. Portraits of him have appeared in various international graffiti magazines and television programs.

Since 2002, he has lived and worked in Heidelberg and Mannheim. In 2004, he wrote ""Sky’s the Limit,"" the only play to date about the graffiti movement. Since 2008, SWEETUNO has focused increasingly on the combination of graffiti and painting; his studio works are featured in exhibitions both at home and abroad.",https://www.sweetuno.art/,https://www.instagram.com/cedricpintarelli/,https://www.instagram.com/sweetunograffiti/
sarah-haefner,Sarah Häfner,,"Sarah Häfner bewegt sich mit ihrer Arbeit zwischen Stilllebenfotografie, Werbefotografie und textiler Kunst.

Nach ihrer Ausbildung zur Gestalterin für visuelles Marketing – mit einem frühen Fokus auf die Inszenierung von Produkten – fand sie eher zufällig zur Fotografie. Als Autodidaktin entwickelte sie über Jahre ihre eigene Bildsprache und arbeitet heute hauptberuflich als Produktfotografin.

In ihren freien Stilllebenarbeiten stehen vor allem vergängliche Motive wie Blumen oder Früchte im Zentrum. Sie faszinieren dabei insbesondere Fragilität, Materialität sowie die Spannung zwischen natürlichen Objekten und deren bewusster Inszenierung.

Die Stickkunst entwickelte sich über die Jahre zu einem weiteren Schwerpunkt ihrer kreativen Praxis. Die Handarbeit mit Stoff und Garn bildet dabei einen bewussten Gegenpol zur digitalen Fotoproduktion.

Kreativität versteht sie als grundlegenden Bestandteil ihres Lebens – als Form des Ausdrucks sowie der Verarbeitung innerer und äußerer Eindrücke.","In her work, Sarah Häfner moves between still life photography, commercial photography, and textile art.

After training as a visual merchandicing – with an early focus on product staging – she found her way to photography more or less by chance. As a self-taught artist, she developed her own visual language over the years and now works as a full-time product photographer.

In her personal still life projects, the focus is primarily on transient motifs such as flowers or fruit. She is particularly fascinated by fragility, materiality, and the tension between natural objects and their deliberate staging.

Over the years, embroidery has developed into another cornerstone of her creative practice. Working by hand with fabric and thread serves as a conscious counterpoint to digital photo production.

She understands creativity as a fundamental part of her life – as a form of expression and as a way of processing internal and external impressions.",https://www.sarahhaefner.de/,https://www.instagram.com/sarahhaefner_photography/,https://www.instagram.com/stitchtone/
philipp-diefenbacher,Philipp Diefenbacher,,"Philipp Diefenbacher wuchs in Weingarten bei Karlsruhe auf und begann seine Grafikdesign-Ausbildung mit 17 Jahren an der Carl-Hofer-Schule Karlsruhe. Darauf folgten Bachelor und Master in Kommunikationsdesign an der Hochschule Mannheim. Sein Vater, der Maler Ralf Diefenbacher, vermittelte ihm früh das handwerkliche Fundament im Zeichnen, in der Malerei und im praktischen gestalterischen Arbeiten.

Das Grafikdesign führte ihn zur Kunst, motiviert durch den Wunsch nach freierem Arbeiten außerhalb gestalterischer Grenzen. Die Werkzeuge der Grafik nutzt er dabei weiterhin, insbesondere Präzision, Schrift sowie das Zusammenspiel von Fläche und Kontrast. Ausgehend vom Zeichnen, dem Aktzeichnen und der Druckgrafik, vornehmlich dem Holzschnitt, erkundet er zunehmend die Malerei und neue Materialien. Experimente mit Untergründen, Stoffen und Farben verbindet er mit seinen vertrauten Techniken.

Im Mittelpunkt seiner Arbeit stehen der menschliche Körper und die Hand als Ausdrucksträger. Motive der griechischen Mythologie wie Ikarus, Aktäon oder Anchises nutzt er, um gegenwärtige Themen wie gesellschaftliche Ungleichheit, Verzweiflung und zwischenmenschliche Abgründe zu behandeln. Beeinflusst von Egon Schiele, Gustav Klimt und dem Jugendstil bewegt er sich in seinen Werken schrittweise vom Konkreten weg in Richtung Abstraktion.","Philipp Diefenbacher grew up in Weingarten near Karlsruhe and began his training in graphic design at the age of 17 at the Carl Hofer School in Karlsruhe. This was followed by a Bachelor’s and Master’s degree in communication design at Mannheim University of Applied Sciences. His father, the painter Ralf Diefenbacher, introduced him to the technical foundations at an early age, teaching him drawing, painting, and how to think through manual work.

Graphic design led him toward fine art, driven by the desire to work more freely and move beyond the boundaries of commercial design. However, he retains the tools of graphics, such as precision, typography, and the interplay of surface and contrast. Starting from drawing, life drawing, and printmaking—primarily woodcut—he increasingly explores painting and new materials. He combines experiments with substrates, fabrics, and colors with the techniques already familiar to him.

The focus of his work is the human body and the hand as a medium of expression. Motives from Greek mythology, such as Icarus, Actaeon, or Anchises, serve as vessels for contemporary issues: social inequality, despair, and interpersonal depths. Influenced by Egon Schiele, Gustav Klimt, and Art Nouveau, he gradually moves away from the concrete toward abstraction.",,https://www.instagram.com/philipp.diefenbacher/,
alexandra-kunz,Alexandra Kunz,Keramik,,,,,
